cph,easting,northing,cattle,pigs,sheep,goats,deer
12/90/3,421700,518900,120,0,1540,0,0
12/93/4,423700,521400,24,35,120,0,0
12/93/12,422400,522400,98,0,0,0,0
12/93/33,424134,523972,88,0,1146,0,0
12/93/45,421400,523500,178,0,0,0,0
12/93/49,422000,523800,20,0,57,0,0
12/97/1,419300,520000,301,0,0,0,0
12/97/4,419200,520000,0,0,819,0,0
12/101/2,420927,515789,0,0,1377,0,0
12/101/15,420205,517367,0,0,772,0,0
12/108/1,420405,519500,0,0,328,0,0
12/108/4,420300,519100,0,743,262,0,0
12/108/6,420200,518800,172,0,565,0,0
12/109/32,423100,519700,439,0,0,0,0
12/115/2,420800,538600,48,0,549,0,0
12/115/6,424500,538100,384,0,170,0,0
12/115/33,420100,538700,382,0,1711,0,0
12/128/73,424500,531600,239,0,0,0,0
12/176/57,417600,542700,82,0,872,0,0
12/182/7,414200,539700,280,0,2677,0,0
12/182/13,412400,539500,362,0,1360,0,0
12/182/16,415000,540900,680,0,795,0,0
12/182/20,414900,540500,6,0,7,0,0
12/186/48,408500,546500,0,0,140,0,0
12/186/136,413500,544300,0,0,578,0,0
12/186/138,419800,545100,89,0,562,0,0
12/188/40,408000,546200,2,0,520,0,0
12/189/1,411700,542500,167,0,837,0,0
12/189/2,412700,544000,0,0,2805,0,0
12/210/4,394700,546900,0,0,618,0,0
12/210/6,392900,547900,52,0,2758,0,0
12/210/11,396400,549500,315,0,1974,0,0
12/213/50,435307,521584,47,0,648,0,0
12/218/3,432500,521900,0,0,612,0,0
12/273/54,398200,540700,26,0,973,0,0
12/273/165,394300,541500,84,0,923,0,0
12/273/189,389700,538700,0,0,121,0,0
12/274/13,412300,538500,13,0,391,0,0
12/274/36,412500,538500,131,0,1176,0,0
12/274/42,412237,539682,0,0,545,0,0
12/274/51,412600,538534,0,0,65,0,0
12/277/1,419800,545611,181,0,273,0,0
12/277/3,421500,547500,101,0,858,0,0
12/277/4,420000,545900,89,0,1410,0,0
12/652/17,415300,515700,29,244,0,2,0
12/694/31,396800,519100,117,0,1457,0,0
12/699/5001,387891,517019,3,1,89,0,0
30/621/102,416200,565900,81,0,0,0,0
30/621/105,416300,567800,37,44,0,0,0
30/621/109,416300,567500,2,0,0,0,0
30/621/128,417900,569300,3,2,2,0,0
30/671/31,419851,575039,151,0,0,0,0
30/671/33,421700,573000,0,0,325,0,0
30/705/36,414600,567900,7,5,1,0,0
30/748/158,412800,561000,4,1,43,0,0
48/78/9000,446900,491700,127,154,105,0,0
12/31/463,419100,535100,0,0,6,0,0
12/123/69,425290,538590,0,0,160,0,0
4/519/32,443580,527150,324,0,2689,0,0
31/238/42,414800,584200,9,0,330,0,0
31/401/39,377863,572303,15,0,155,0,0
31/499/7002,413996,573878,32,0,2,0,0
